,Lat,Temp,Humidity,Cloudiness,Windspeed
0,48.27,32.0,89,75,20.8
1,60.12,15.8,92,0,6.93
2,50.76,38.59,93,75,4.7
3,48.32,32.35,95,64,10.33
4,41.33,30.2,100,36,5.82
5,51.63,33.8,69,75,13.87
6,42.18,39.02,60,20,14.99
7,50.18,37.85,93,75,5.82
8,52.4,32.92,93,75,13.87
9,42.69,31.21,58,0,21.92
10,51.96,-3.21,73,32,10.6
11,45.43,42.8,70,90,3.36
12,30.73,37.16,97,92,2.62
13,13.46,72.94,34,8,8.32
14,8.06,76.49,78,20,5.12
15,60.82,12.2,92,90,5.12
16,-37.4,83.64,40,0,4.7
17,-3.78,73.16,93,56,2.28
18,48.73,33.71,80,75,5.82
19,14.88,68.0,88,0,5.82
20,41.65,41.74,100,0,2.24
21,48.69,33.33,74,75,6.93
22,45.25,43.33,99,92,18.43
23,47.15,37.18,93,75,4.74
24,47.05,44.58,70,90,2.24
25,45.39,47.91,44,1,17.22
26,41.47,25.66,86,90,10.29
27,59.5,28.4,79,75,6.93
28,57.72,28.4,68,0,14.99
29,43.42,47.71,61,0,20.8
30,53.59,25.64,87,44,15.3
31,39.27,41.88,87,0,4.7
32,48.78,42.8,81,75,4.7
33,48.12,32.61,98,20,12.75
34,47.23,-41.82,0,0,1.88
35,50.05,26.6,73,75,18.34
36,39.88,42.4,81,90,10.29
37,-8.16,79.33,100,92,6.76
38,43.59,48.52,100,90,2.24
39,50.93,32.0,95,75,14.99
40,48.52,35.6,80,75,5.82
41,50.27,31.76,90,88,13.13
42,37.96,43.84,93,90,6.93
43,44.58,45.08,100,92,19.33
44,33.71,44.6,70,75,6.93
45,51.25,27.31,91,64,18.21
46,52.1,32.16,74,75,17.22
47,27.02,35.09,77,0,4.0
48,52.01,36.5,80,40,14.99
49,6.64,77.0,83,75,6.93
50,44.16,46.4,81,90,3.36
51,57.51,15.74,88,88,12.28
52,45.69,36.39,33,0,13.87
53,32.82,41.0,72,90,2.77
54,8.28,85.94,48,12,6.13
55,57.82,26.6,79,0,8.05
56,-19.99,68.53,94,24,4.23
57,41.67,27.0,66,90,4.7
58,29.03,53.19,62,90,8.37
59,50.89,32.26,89,48,11.12
60,18.58,62.05,30,12,11.45
61,53.32,37.35,69,8,9.17
62,51.39,36.52,80,0,10.29
63,-0.37,65.92,87,80,3.56
64,50.34,35.2,92,75,3.36
65,54.15,37.4,64,75,18.34
66,46.66,38.75,69,90,12.75
67,43.62,34.27,64,1,4.7
68,39.42,27.37,79,1,3.85
69,46.07,44.64,60,40,2.24
70,48.93,43.99,70,90,6.93
71,45.19,44.44,87,90,2.24
72,46.01,33.3,48,0,8.05
73,18.44,76.99,100,48,7.09
74,-33.25,77.35,82,92,5.35
75,48.72,33.53,80,75,5.82
76,19.36,58.31,98,68,1.99
77,45.06,43.34,42,0,8.05
78,19.87,55.88,92,100,1.99
79,57.93,31.81,93,88,6.35
80,18.05,82.4,69,20,10.29
81,46.99,33.8,74,40,6.93
82,35.36,35.54,81,0,6.13
83,49.27,23.0,53,90,14.99
84,49.21,26.67,79,12,1.12
85,-42.88,75.2,60,0,6.93
86,-13.52,60.8,44,75,1.83
87,34.65,38.44,80,75,2.24
88,50.28,35.53,93,40,4.7
89,-3.71,80.6,88,20,3.36
90,-6.66,72.44,100,76,3.62
91,33.51,67.48,52,1,6.93
92,30.85,45.54,58,40,6.93
93,45.89,33.93,42,0,8.05
94,49.74,37.4,86,88,6.93
95,40.41,31.15,46,20,11.41
96,47.29,31.48,86,75,8.05
97,30.78,-1.81,67,56,3.29
98,45.17,-20.58,50,0,2.55
99,48.65,45.46,70,90,3.36
100,42.16,45.25,80,0,3.36
101,45.95,42.8,70,90,3.36
102,-27.43,69.8,94,90,6.93
103,46.59,32.94,92,20,4.7
104,46.59,24.71,79,1,4.7
105,-34.41,84.2,30,40,5.82
106,44.89,53.47,19,0,13.87
107,41.11,26.81,75,56,2.1
108,17.35,62.6,88,0,3.36
109,48.86,34.91,97,88,16.37
110,55.3,39.2,64,80,13.87
111,52.92,23.21,90,80,13.85
112,33.99,5.93,75,76,2.33
113,50.52,42.8,75,75,5.82
114,45.44,41.86,70,90,3.36
115,44.78,46.4,87,90,2.24
116,51.71,35.6,74,0,18.34
117,48.11,45.5,75,90,3.36
118,47.42,42.8,81,90,3.22
119,19.86,56.83,94,44,0.98
120,40.69,35.81,93,0,7.81
121,34.02,52.79,96,90,9.17
122,39.06,30.33,67,1,4.34
123,44.35,57.2,19,0,13.87
124,47.74,45.82,75,90,3.36
125,51.93,32.92,93,20,13.87
126,39.29,48.22,93,0,8.05
127,50.48,39.76,93,75,2.24
128,-6.98,72.67,96,20,2.84
129,40.29,45.89,100,0,8.77
130,45.03,46.4,87,90,3.36
131,42.39,42.19,87,76,6.93
132,41.63,41.31,100,0,3.36
133,13.42,77.93,81,20,10.38
134,45.95,42.8,60,90,4.7
135,51.24,23.0,79,20,5.82
136,43.42,45.5,87,90,5.82
137,51.99,46.4,100,75,5.82
138,45.79,37.09,64,0,3.36
139,50.15,32.58,80,44,6.93
140,55.5,24.11,85,64,13.29
141,51.74,34.46,88,32,16.98
142,43.39,46.4,100,90,3.36
143,54.42,45.5,100,75,13.87
144,-24.69,69.08,94,90,8.05
145,50.14,32.58,80,44,6.93
146,40.84,23.0,92,90,5.23
147,61.17,30.2,100,90,3.36
148,50.13,30.2,68,75,13.87
149,49.21,45.21,70,90,6.93
150,46.61,24.08,79,75,9.17
151,49.6,35.4,92,75,3.36
152,62.2,-4.01,83,90,12.75
153,38.3,52.09,54,90,3.06
154,52.13,15.97,87,92,10.27
155,51.47,36.59,80,0,10.29
156,41.37,43.65,81,0,8.05
157,-0.67,55.39,93,20,2.28
158,47.92,33.76,91,40,2.24
159,41.07,32.44,82,48,3.78
160,54.56,43.86,87,75,13.87
161,48.46,31.86,93,40,5.82
162,45.24,44.6,42,0,8.05
163,-25.03,78.34,90,88,4.41
164,50.86,27.94,88,44,20.62
165,52.32,15.8,92,75,16.11
166,53.31,30.2,92,75,12.75
167,37.25,48.0,29,0,17.22
168,49.62,33.33,95,40,10.29
169,56.44,13.76,85,76,10.38
170,40.67,24.76,80,90,5.82
171,-4.01,71.99,92,80,2.28
172,45.53,12.83,72,90,8.05
173,47.52,37.4,93,75,8.05
174,51.91,36.58,93,92,16.93
175,-36.85,66.2,72,24,9.17
176,44.61,46.4,87,90,3.36
177,34.71,38.59,80,75,2.24
178,47.38,32.0,80,75,20.8
179,38.74,41.2,9,1,6.93
180,49.46,42.8,81,0,4.7
181,-33.63,78.8,69,0,1.12
182,46.58,36.01,100,90,6.93
183,-13.63,78.43,63,36,9.15
184,-35.26,77.0,73,0,4.7
185,49.73,33.24,95,40,10.29
186,48.08,28.4,86,90,5.82
187,49.62,32.81,91,75,5.82
188,40.56,30.2,92,75,4.29
189,39.15,30.19,68,20,2.77
190,52.37,35.58,80,75,11.41
191,39.72,29.78,76,36,5.86
192,13.44,77.93,81,20,10.38
193,0.51,75.2,88,0,6.93
194,13.29,46.57,92,12,2.51
195,58.41,31.14,58,0,20.8
196,49.61,39.2,86,40,3.36
197,-36.25,83.47,84,32,4.52
198,49.19,33.91,74,20,11.41
199,55.62,34.27,74,0,13.87
200,19.05,70.39,76,40,12.75
201,54.42,28.4,92,90,11.18
202,38.92,15.7,74,0,2.84
203,50.77,42.8,75,75,5.82
204,38.87,37.4,74,0,4.7
205,53.14,41.49,80,75,8.05
206,37.39,49.8,62,0,11.41
207,48.8,42.8,81,90,3.36
208,9.91,74.52,100,20,14.99
209,24.0,62.6,88,75,4.7
210,34.23,41.27,86,90,9.17
211,41.86,25.87,67,12,5.91
212,39.43,32.0,76,0,5.86
213,-17.3,75.73,62,0,6.87
214,44.91,29.37,88,90,8.05
215,6.18,66.49,93,90,3.36
216,39.19,30.16,83,90,5.82
217,11.53,60.8,41,0,5.08
218,46.7,23.0,79,75,9.17
219,45.84,46.4,65,90,3.36
220,45.49,40.55,86,90,5.64
221,36.37,35.46,80,90,2.73
222,49.9,33.35,93,75,14.99
223,30.28,43.92,75,90,8.05
224,52.29,36.48,74,75,16.11
225,49.17,45.61,70,90,8.05
226,34.88,45.39,39,0,3.36
227,43.23,28.31,79,90,8.05
228,52.57,32.95,88,75,13.87
229,53.17,37.65,80,40,11.41
230,10.97,75.28,89,0,8.03
231,9.41,67.81,100,0,7.76
232,56.37,26.36,90,80,17.83
233,42.37,11.2,64,0,1.39
234,-15.59,72.26,88,32,7.25
235,47.13,31.08,82,20,12.75
236,55.73,28.4,86,90,15.66
237,45.43,38.84,86,20,5.82
238,54.04,27.98,82,12,14.81
239,9.03,77.8,67,0,4.34
240,-7.46,72.67,96,20,2.84
241,48.61,32.92,91,20,12.75
242,30.05,47.71,70,90,4.29
243,50.98,35.69,93,92,3.36
244,-12.34,82.66,100,48,9.1
245,49.05,44.6,70,90,8.05
246,-31.86,63.79,59,0,6.93
247,54.22,37.4,64,75,18.34
248,-36.07,81.08,75,0,5.08
249,-34.9,77.0,73,0,4.7
250,49.69,37.51,91,75,3.36
251,19.26,70.0,25,75,12.75
252,38.26,33.8,84,40,3.36
253,50.87,35.58,86,90,3.36
254,-6.86,81.71,100,64,12.06
255,56.62,26.05,85,92,14.07
256,7.7,77.0,83,75,6.93
257,13.35,71.6,83,0,3.36
258,39.98,28.43,89,32,2.89
259,14.59,77.0,69,20,2.24
260,6.09,81.08,100,32,1.99
261,51.7,42.35,65,75,9.17
262,51.77,22.18,90,44,11.9
263,44.69,42.8,52,0,8.05
264,10.17,58.18,93,8,1.88
265,50.48,37.71,93,40,4.7
266,52.72,40.14,93,40,11.41
267,50.79,33.8,80,40,13.87
268,38.53,51.8,71,75,6.93
269,53.14,36.99,80,40,13.87
270,45.39,45.55,75,90,2.51
271,-6.9,68.71,96,12,2.84
272,42.27,46.4,45,0,8.05
273,49.5,32.77,90,90,5.82
274,42.94,37.4,93,0,2.24
275,66.08,6.37,84,0,1.12
276,49.78,32.71,96,92,12.62
277,41.02,24.03,85,1,5.82
278,-36.31,77.0,73,75,9.17
279,-28.47,78.3,61,40,8.05
280,45.67,45.3,41,0,4.7
281,40.13,48.41,91,44,12.35
282,46.65,31.13,95,92,10.04
283,31.69,46.4,28,0,2.24
284,48.5,32.0,88,40,14.99
285,44.79,29.69,83,36,2.62
286,36.99,35.6,80,0,2.24
287,52.9,40.21,93,40,11.41
288,40.83,38.71,71,32,4.7
289,34.47,39.2,69,75,3.36
290,13.45,75.19,82,32,1.77
291,-3.27,60.38,100,88,2.51
292,40.44,30.2,100,20,5.82
293,56.81,37.4,66,12,13.87
294,53.24,37.4,64,92,16.11
295,43.15,25.38,79,1,2.77
296,43.69,45.36,57,0,11.41
297,50.91,35.28,90,40,6.93
298,51.42,35.6,74,0,18.34
299,47.24,36.82,100,56,3.36
300,50.5,14.0,92,75,4.7
301,48.2,32.61,98,75,8.05
302,41.71,22.17,67,1,6.93
303,43.36,47.7,100,90,2.24
304,55.86,20.47,89,80,14.14
305,41.84,25.59,86,90,5.82
306,43.78,48.51,57,0,11.41
307,57.07,5.44,75,8,9.55
308,39.9,42.8,100,36,2.24
309,33.9,25.73,41,88,7.76
310,52.16,33.8,74,40,18.34
311,31.48,-23.46,39,0,5.08
312,15.48,71.6,83,0,2.24
313,44.48,55.08,19,0,13.87
314,45.51,46.98,33,0,13.87
315,38.73,44.6,81,0,4.7
316,53.47,34.06,71,12,19.89
317,-8.5,76.99,100,80,3.33
318,51.63,34.23,93,0,5.82
319,15.91,62.36,93,32,1.99
320,38.88,29.46,78,90,3.4
321,47.18,36.82,100,48,3.36
322,47.56,36.79,93,75,8.05
323,9.67,67.81,43,0,4.52
324,49.14,34.99,90,40,3.36
325,30.46,43.95,72,90,9.17
326,49.38,32.53,97,88,11.05
327,59.64,37.4,81,20,4.7
328,52.2,36.48,74,40,17.22
329,48.65,42.8,81,90,3.36
330,50.76,40.6,75,75,4.7
331,50.98,30.2,68,0,20.8
332,33.99,47.66,60,1,10.29
333,50.1,32.43,80,44,6.93
334,53.77,42.82,80,75,8.05
335,30.43,44.6,100,75,6.71
336,46.45,38.92,94,92,12.28
337,13.53,70.06,75,0,6.42
338,30.04,44.33,72,90,9.17
339,25.87,73.99,53,1,9.17
340,60.34,15.8,100,0,3.36
341,42.33,27.76,88,20,2.1
342,28.47,59.56,64,1,4.7
343,49.9,32.0,90,90,5.82
344,-46.54,71.81,12,0,13.91
345,42.27,39.2,80,0,3.36
346,48.62,42.28,81,90,5.82
347,45.54,44.83,31,0,13.87
348,53.99,35.99,86,20,25.26
349,46.39,30.41,84,0,18.54
350,50.97,32.0,95,75,14.99
351,48.02,34.15,97,88,10.33
352,46.33,35.6,80,40,10.29
353,49.17,42.15,87,90,5.82
354,21.25,47.24,94,0,3.51
355,40.06,41.92,86,0,2.55
356,47.33,37.42,93,75,3.51
357,52.65,35.01,80,75,11.41
358,-29.64,75.2,94,75,3.36
359,45.31,29.28,86,90,3.36
360,45.25,29.47,91,88,8.59
361,33.13,28.88,68,80,19.62
362,40.19,30.14,84,20,2.39
363,22.31,58.63,84,0,10.04
364,39.94,41.92,86,0,2.55
365,10.27,78.8,69,20,4.7
366,31.99,50.43,66,0,12.75
367,43.07,23.39,85,0,3.33
368,46.02,8.6,84,20,4.7
369,38.92,50.92,93,0,8.05
370,-28.63,102.55,14,92,8.25
371,49.92,32.0,90,90,5.82
372,51.86,46.4,100,75,5.82
373,56.05,26.41,87,88,14.97
374,41.34,47.26,76,0,16.11
375,-16.85,82.4,42,0,6.93
376,40.92,27.3,83,1,8.05
377,53.3,25.01,85,0,13.85
378,37.98,53.31,54,90,3.4
379,49.81,26.6,73,75,18.34
380,9.25,68.35,65,32,1.5
381,41.23,21.46,70,20,1.61
382,43.35,46.02,93,75,2.28
383,35.88,55.4,82,20,16.11
384,32.55,47.84,72,90,4.7
385,21.37,78.51,60,40,6.93
386,50.27,32.7,80,44,6.93
387,41.21,24.88,76,12,1.88
388,38.48,33.08,91,90,6.93
389,53.27,21.46,92,80,13.96
390,-25.53,69.8,83,8,3.36
391,42.81,26.73,79,90,8.05
392,32.83,54.73,77,90,8.05
393,47.05,30.7,86,75,8.05
394,33.14,20.51,68,80,1.83
395,38.62,47.16,81,90,6.93
396,53.13,36.19,80,40,11.41
397,43.42,28.08,67,1,3.36
